N,threads,time
128,2,0.676372
128,4,0.439815
128,8,0.264122
128,12,0.210345
128,16,0.180781
128,24,0.196489
256,2,4.155262
256,4,3.524370
256,8,2.176591
256,12,1.744896
256,16,1.359405
256,24,1.280139
512,2,56.065836
512,4,37.168558
512,8,22.225492
512,12,15.919811
512,16,12.624521
512,24,9.576931
1024,2,1007.659604
1024,4,640.934463
1024,8,339.874588
1024,12,232.975905
1024,16,177.866992
1024,24,124.328169
2048,2,14323.941115
2048,4,9853.576300
2048,8,5492.232868
2048,12,3690.831420
2048,16,2809.233200
2048,24,1925.118322